church_name,denomination,family,address,city_state,zip,phone,website,page_url,irs_ein,irs_address,irs_city,irs_state,irs_zip
Bolingbrook Community Church,Non-Denominational / Independent,Other Churches,"365 Raider Way, Bolingbrook, IL 60440","365 Raider Way, Bolingbrook, IL",60440,(630) 679-0022,https://bolingbrookchurch.org,https://www.usachurches.org/church/bolingbrook-community-church.htm,366130132,320 N PINECREST RD,LEMONT,IL,60440-2160
"Oasis Church, Middlesex County",Non-Denominational / Independent,Other Churches,"1000 Corporate Ct, South Plainfield, NJ 07080","1000 Corporate Ct, South Plainfield, NJ",07080,(732) 586-3458,https://oasis-church-nj.com,https://www.usachurches.org/church/oasis-church-middlesex-county.htm,421759742,2 DENMAN AVE,CLARK,NJ,07066-1515
Mzizi Church International,Non-Denominational / Independent,Other Churches,"1001 Highway 7, Hopkins, MN 55305","1001 Highway 7, Hopkins, MN",55305,(763) 587-8137,https://mzizichurch.org,https://www.usachurches.org/church/mzizi-church-international.htm,271099783,116 INTERLACHEN RD,BURNSVILLE,MN,55306-6450
Epic Church,Non-Denominational / Independent,Other Churches,"00 a.m. and 10:15 a.m. (3720 Main St, Philadelphia, PA 19127). We also offer a service at 11:30 a.m. in Center City at The Suzanne Roberts Theatre (480 S Broad St, Philadelphia, PA 19146","00 a.m. and 10:15 a.m. (3720 Main St, Philadelphia, PA 19127). We also offer a service at 11:30 a.m. in Center City at The Suzanne Roberts Theatre (480 S Broad St, Philadelphia, PA",19146,(215) 525-9193,https://epicwired.net,https://www.usachurches.org/church/epic-church-philadelphia.htm,208869397,150 MONUMENT ROAD,BALA CYNWYD,PA,19004-1702
Christ Fellowship Prayer Tabernacle and Exacting Truth Ministries,Non-Denominational / Independent,Other Churches,"765 Eisenhower Blvd., Harrisburg, PA 17111","765 Eisenhower Blvd., Harrisburg, PA",17111,(717) 233-4223,https://exactingtruth.com,https://www.usachurches.org/church/christ-fellowship-prayer-tabernacle.htm,020538938,444 STERLING RD STE 7,TOBY HANNA,PA,18466-3951
Grace Church Melbourne,Non-Denominational / Independent,Other Churches,"30 at Cinemaworld Melbourne 16 (4345 West New Haven Avenue, West Melbourne, FL 32904","30 at Cinemaworld Melbourne 16 (4345 West New Haven Avenue, West Melbourne, FL",32904,(321) 525-0012,https://gracechurchmelbourne.com,https://www.usachurches.org/church/grace-church-melbourne.htm,264730280,2820 MINTON RD,MELBOURNE,FL,32904-6621
Christ's Messengers Christian Fellowship,Non-Denominational / Independent,Other Churches,"3541 Stone Mountain Hwy, Suite #3, Snellville, GA 30078","3541 Stone Mountain Hwy, Suite #3, Snellville, GA",30078,(678) 353-6047,,https://www.usachurches.org/church/christs-messengers-christian-fellowship.htm,201058643,488 ASHVILLE DR,MACON,GA,31210-1683
The Sacred Heart Mission,Non-Denominational / Independent,Other Churches,"3914 St Elmo Avenue, Chattanooga, TN 37409","3914 St Elmo Avenue, Chattanooga, TN",37409,(423) 238-3835,,https://www.usachurches.org/church/the-sacred-heart-mission.htm,332913753,1933 LITTLETON CT,COLUMBIA,TN,38401-6939
Mokelumne Hill Church,Non-Denominational / Independent,Other Churches,"8085 Highway 26 Suite B, Mokelumne Hill, CA 95245","8085 Highway 26 Suite B, Mokelumne Hill, CA",95245,(209) 286-1165,,https://www.usachurches.org/church/mokelumne-hill-church.htm,271295305,478 SARATOGA AVE STE 207,SAN JOSE,CA,95129-0000
Christ Community Church,Non-Denominational / Independent,Other Churches,"2916 Duncan Rd, Wilmington, DE 19808","2916 Duncan Rd, Wilmington, DE",19808,(302) 999-9340,https://gotoc3.com,https://www.usachurches.org/church/christ-community-church-wilmington-de.htm,202959615,6949 LANCASTER PIKE,HOCKESSIN,DE,19707-9597
Catalyst Church,Non-Denominational / Independent,Other Churches,"670 11th St, Arcata, CA 95521","670 11th St, Arcata, CA",95521,(707) 407-0499,https://provokechange.org,https://www.usachurches.org/church/catalyst-church.htm,237069964,4940 NAUTILUS ST APT C,OXNARD,CA,93035-1923
Word of Wisdom Christian Minstries,Non-Denominational / Independent,Other Churches,"97 Yost Place, Capital Heights, MD 20743","97 Yost Place, Capital Heights, MD",20743,(301) 574-4404,,https://www.usachurches.org/church/word-of-wisdom-christian-minstries.htm,275559523,12007 BERRYBROOK TER,UPPR MARLBORO,MD,20772-5325
Grace Christian Church,Non-Denominational / Independent,Other Churches,"50 Waterworks Rd, Freehold, NJ 07728","50 Waterworks Rd, Freehold, NJ",07728,(732) 637-9052,https://njgrace.org,https://www.usachurches.org/church/grace-christian-church.htm,200220102,70 HOME AVE,RUTHERFORD,NJ,07070-1726
"City On A Hill Church, North Campus",Non-Denominational / Independent,Other Churches,"14520 100th Ave NE, Bothell, WA 98011","14520 100th Ave NE, Bothell, WA",98011,(253) 927-2225,https://cityhill.tv,https://www.usachurches.org/church/city-on-a-hill-church-north-campus.htm,834486425,4921 N BANNEN RD,SPOKANE VLY,WA,99216-3035
Passages Christian Fellowship,Non-Denominational / Independent,Other Churches,"8225 S 59th Ave, Laveen Village, AZ 85339","8225 S 59th Ave, Laveen Village, AZ",85339,(602) 237-7253,https://passageschurch.com,https://www.usachurches.org/church/passages-christian-fellowship.htm,866007893,PO BOX 55,LAVEEN,AZ,85339-0055
Grumlaw Church,Non-Denominational / Independent,Other Churches,"805 Health Park Blvd, Grand Blanc, MI 48439","805 Health Park Blvd, Grand Blanc, MI",48439,(810) 510-0298,https://grumlaw.com,https://www.usachurches.org/church/grumlawchurch.htm,200919851,3518 E MAIN ST,KALAMAZOO,MI,49048-1103
City Christian Church,Non-Denominational / Independent,Other Churches,"26255 Garbani Rd, Menifee, CA 92584","26255 Garbani Rd, Menifee, CA",92584,(951) 696-4463,https://citychristianchurch.com,https://www.usachurches.org/church/city-christian-church.htm,951878866,11025 LAMBERT AVE,EL MONTE,CA,91731-1627
New Vision Community Church,Non-Denominational / Independent,Other Churches,"11230 Southwest Freeway, Houston, TX 77031","11230 Southwest Freeway, Houston, TX",77031,(281) 512-1244,,https://www.usachurches.org/church/new-vision-community-church.htm,760695713,7223 GRANTS HOLLOW LN,RICHMOND,TX,77407-3992
New Covenant Community Church,Non-Denominational / Independent,Other Churches,"4800 McArthur Ranch Rd, Highlands Ranch, CO 80130","4800 McArthur Ranch Rd, Highlands Ranch, CO",80130,(303) 552-1145,https://new3c.org,https://www.usachurches.org/church/new-covenant-community-church-littleton.htm,841014566,1250 S BUCKLEY RD STE I 146,AURORA,CO,80017-4180
Southcoast Church International,Non-Denominational / Independent,Other Churches,"100 North Calle Seville, San Clemente, CA 92672","100 North Calle Seville, San Clemente, CA",92672,(949) 614-5734,https://southcoastchurch.com,https://www.usachurches.org/church/southcoast-church-international.htm,050552445,PO BOX 894,CARPINTERIA,CA,93014-0894
Westlake Fellowship,Non-Denominational / Independent,Other Churches,"19785 Texas 105, Montgomery, TX 77356","19785 Texas 105, Montgomery, TX",77356,(713) 253-3215,https://westlakefellowship.org,https://www.usachurches.org/church/westlake-fellowship.htm,020609883,100 STINSON RD,LUCAS,TX,75002-7300
Jubilee Christian Fellowship,Non-Denominational / Independent,Other Churches,"400 Hilltop Blvd, Canfield, OH 44406","400 Hilltop Blvd, Canfield, OH",44406,(330) 533-7730,https://jubileecf.com,https://www.usachurches.org/church/jubilee-christian-fellowship.htm,341773365,PO BOX 862,CANFIELD,OH,44406-0862
Generation Church,Non-Denominational / Independent,Other Churches,"2706 Philadelphia Road, Abingdon, MD 21009","2706 Philadelphia Road, Abingdon, MD",21009,(410) 836-7335,https://thisgen.com,https://www.usachurches.org/church/generation-church.htm,464239885,1540 POINTER RIDGE PL STE D,BOWIE,MD,20716-1881
Portland International Church of Christ,Non-Denominational / Independent,Other Churches,"4804 NW Bethany Blvd, Suite i-2, #329, Portland, OR 97229","4804 NW Bethany Blvd, Suite i-2, #329, Portland, OR",97229,(503) 729-1622,https://portlandchurch.org,https://www.usachurches.org/church/portland-international-church-of-christ.htm,931067695,15532 SW PACIFIC HWY STE C1B 230,TIGARD,OR,97224-3598
The Church at North Pointe,Non-Denominational / Independent,Other Churches,"455 Clark State Rd, Gahanna, OH 43230","455 Clark State Rd, Gahanna, OH",43230,(614) 390-6146,,https://www.usachurches.org/church/the-church-at-north-pointe.htm,341318853,4125 LEAVITT RD,LORAIN,OH,44053-2341
Now Faith Fellowship Church,Non-Denominational / Independent,Other Churches,"20 Salisbury Dr., Stafford, VA 22554","20 Salisbury Dr., Stafford, VA",22554,(888) 530-7838,,https://www.usachurches.org/church/now-faith-fellowship-church.htm,541651337,100 WIRTZ RD,WIRTZ,VA,24184-4050
Deeper Life Fellowship,Non-Denominational / Independent,Other Churches,"12425 NE San Rafael St, Portland, OR 97230","12425 NE San Rafael St, Portland, OR",97230,(503) 927-0716,,https://www.usachurches.org/church/deeper-life-fellowship.htm,770605085,PO BOX 1765,ROSEBURG,OR,97470-0420
Crossings Church,Non-Denominational / Independent,Other Churches,"15778 West Yuma Road, Goodyear, AZ 85338","15778 West Yuma Road, Goodyear, AZ",85338,(623) 239-1096,https://crossingschurchaz.org,https://www.usachurches.org/church/crossings-church.htm,010972293,2024 E FLORENCE BLVD,CASA GRANDE,AZ,85122-5402
Summit Church International,Non-Denominational / Independent,Other Churches,"12440 Campo Rd, Spring Valley, CA 91978","12440 Campo Rd, Spring Valley, CA",91978,(619) 825-8115,https://summitsandiego.org,https://www.usachurches.org/church/summit-church-international.htm,262789840,PO BOX 395,SPRING VALLEY,CA,91976-0395
Bright City Church,Non-Denominational / Independent,Other Churches,"777 Cheshire Rd, Sunbury, OH 43074","777 Cheshire Rd, Sunbury, OH",43074,(740) 936-5040,https://brightcitysunbury.com,https://www.usachurches.org/church/brightcitychurch.htm,934468948,2545 N STATE ROUTE 61,SUNBURY,OH,43074-9000
Mission Church,Non-Denominational / Independent,Other Churches,"26933 North Silverbell Lane, Santa Clarita, CA 91387","26933 North Silverbell Lane, Santa Clarita, CA",91387,(661) 430-0322,https://missionchurch.us,https://www.usachurches.org/church/mission-church-santa-clarita.htm,010691837,7921 DE GARMO AVE,SUN VALLEY,CA,91352-4123
"DaySpring International Ministries, Inc.",Non-Denominational / Independent,Other Churches,"2920 Clairmont Road, I-85 exit #91, Atlanta, GA 30329","2920 Clairmont Road, I-85 exit #91, Atlanta, GA",30329,(678) 561-3174,,https://www.usachurches.org/church/dayspring-international-ministries-inc.htm,271517341,827 BURCHILL ST SW,ATLANTA,GA,30310-4625
New Glory Christian Church,Non-Denominational / Independent,Other Churches,"4740 N Henry Blvd, Stockbridge, GA 30281","4740 N Henry Blvd, Stockbridge, GA",30281,(770) 474-2586,,https://www.usachurches.org/church/new-glory-christian-church.htm,273371179,PO BOX 304,STOCKBRIDGE,GA,30281-0304
Wave Church,Non-Denominational / Independent,Other Churches,"7601 Gaylord Pkwy, Frisco, TX 75034","7601 Gaylord Pkwy, Frisco, TX",75034,(972) 325-1981,,https://www.usachurches.org/church/wave-church.htm,751933095,PO BOX 3131,WICHITA FALLS,TX,76301-0131
God's Hand Extended Christian Fellowship,Non-Denominational / Independent,Other Churches,"6680 Regional Street, Dublin, CA 94568","6680 Regional Street, Dublin, CA",94568,(925) 465-1455,,https://www.usachurches.org/church/gods-hand-extended-christian-fellowship.htm,510184231,PO BOX 120989,SAN DIEGO,CA,92112-0989
Life Fellowship Church,Non-Denominational / Independent,Other Churches,"377 Broadway, Newburgh, NY 12550","377 Broadway, Newburgh, NY",12550,(646) 621-7680,,https://www.usachurches.org/church/life-fellowship-church.htm,112540664,398 33RD ST,LINDENHURST,NY,11757-3239
New Life Community Church,Non-Denominational / Independent,Other Churches,"24001 Ridge Rd, Germantown, MD 20876","24001 Ridge Rd, Germantown, MD",20876,(240) 745-2210,https://newlifechurch7.org,https://www.usachurches.org/church/newlifecommunitychurch.htm,061694247,7665 MARCY DR,GLEN BURNIE,MD,21060-7639
Spirit Of Life Fellowship,Non-Denominational / Independent,Other Churches,"66 Hale Avenue, White Plains, NY 10601","66 Hale Avenue, White Plains, NY",10601,(914) 777-6534,https://spiritoflifefellowship.org,https://www.usachurches.org/church/spirit-of-life-fellowship.htm,760727581,6225 FILMORE RD,MORAVIA,NY,13118-2360
Antioch Ministries,Non-Denominational / Independent,Other Churches,"5945 Pacific Center Blvd, Suite 510, San Diego, CA 92121","5945 Pacific Center Blvd, Suite 510, San Diego, CA",92121,(760) 722-2508,,https://www.usachurches.org/church/antioch-ministries.htm,841659117,5042 CRESTPARK CIR,ANTIOCH,CA,94531-7754
Joyful Fellowship Church,Non-Denominational / Independent,Other Churches,"500 E Streamwood Blvd, Streamwood, IL 60107","500 E Streamwood Blvd, Streamwood, IL",60107,(708) 603-0658,,https://www.usachurches.org/church/joyful-fellowship-church.htm,203089687,201 SAINT LOUIS ST,EDWARDSVILLE,IL,62025-1944
Burn Road Bible Church,Non-Denominational / Independent,Other Churches,"18212 Engebretsen Rd, Granite Falls, WA 98252","18212 Engebretsen Rd, Granite Falls, WA",98252,(360) 691-4944,https://burnroadbiblechurch.com,https://www.usachurches.org/church/burn-road-bible-church.htm,911189368,PO BOX 330,GRANITE FALLS,WA,98252-0330
Family Life Fellowship,Non-Denominational / Independent,Other Churches,"12040 Balboa Blvd, Granada Hills, CA 91344","12040 Balboa Blvd, Granada Hills, CA",91344,(800) 506-8750,,https://www.usachurches.org/church/family-life-fellowship.htm,311729127,601 YUCCA AVE,BARSTOW,CA,92311-3214
The Fathers House Ministries,Non-Denominational / Independent,Other Churches,"323 Main Street, Oxford, MA 01540","323 Main Street, Oxford, MA",01540,(774) 276-0024,,https://www.usachurches.org/church/the-fathers-house-ministries.htm,364660038,PO BOX 505127,CHELSEA,MA,02150-5127
Shepaug Valley Bible Church,Non-Denominational / Independent,Other Churches,"29 North Street, Roxbury, CT 06783). Our Mailing Address: 16 South Street, PO Box 159, Roxbury, CT 06783","29 North Street, Roxbury, CT 06783). Our Mailing Address: 16 South Street, PO Box 159, Roxbury, CT",06783,(860) 210-1127,https://shepaugvalleybiblechurch.net,https://www.usachurches.org/church/shepaug-valley-bible-church.htm,061463478,88 MAIN ST SOUTH SUITE A101,SOUTHBURY,CT,06488-2276
Redeemer Church,Non-Denominational / Independent,Other Churches,"4545 Wenig Rd NE, Cedar Rapids, IA 52402","4545 Wenig Rd NE, Cedar Rapids, IA",52402,(319) 423-9626,https://redeemerhome.com,https://www.usachurches.org/church/redeemer-church-cedar-rapids.htm,420843598,3204 S LAKEPORT ST,SIOUX CITY,IA,51106-4505
Fountain Of Life Church,Non-Denominational / Independent,Other Churches,"927 South Street, Pataskala, OH 43062","927 South Street, Pataskala, OH",43062,(614) 986-7324,,https://www.usachurches.org/church/fountain-of-life-church.htm,205412568,23 W PLEASANT ST,SPRINGFIELD,OH,45506-2278
Elevate Church,Non-Denominational / Independent,Other Churches,"1900 Northwest Bliss Rd, Vancouver, WA 98685","1900 Northwest Bliss Rd, Vancouver, WA",98685,(360) 200-8989,,https://www.usachurches.org/church/elevate-church.htm,202219882,2203 38TH AVE,LONGVIEW,WA,98632-4713
"Christ the King Community Church, Sedro-Woolley",Non-Denominational / Independent,Other Churches,"703 Pacific St, Sedro-Woolley, WA 98284","703 Pacific St, Sedro-Woolley, WA",98284,(360) 853-2039,https://swctk.com,https://www.usachurches.org/church/christ-the-king-community-church-sedro-woolley.htm,912079920,1816 18TH ST,LYNDEN,WA,98264-1244
Bridge Christian Fellowship Orlando,Non-Denominational / Independent,Other Churches,"600 Rinehart Rd, Lake Mary, FL 32746","600 Rinehart Rd, Lake Mary, FL",32746,(407) 599-1190,,https://www.usachurches.org/church/bridge-christian-fellowship-orlando.htm,591806489,507 PAGE ST,ORLANDO,FL,32806-4047
Christ Life Center,Non-Denominational / Independent,Other Churches,"518 N Main St, Randolph, MA 02368","518 N Main St, Randolph, MA",02368,(781) 964-3302,https://christboston.org,https://www.usachurches.org/church/christ-life-center.htm,475092276,PO BOX 1169,RANDOLPH,MA,02368-1169
Freedom Church,Non-Denominational / Independent,Other Churches,"1412 Chestnut St, Philadelphia, PA 19102","1412 Chestnut St, Philadelphia, PA",19102,(267) 702-0743,https://freedomchurchphilly.org,https://www.usachurches.org/church/freedom-church-philadelphia.htm,413875421,4431 WILLIAM PENN HWY,MURRYSVILLE,PA,15668-1946
"Grace Bible Church, Lynnhaven",Non-Denominational / Independent,Other Churches,"2956 Ansol Lane, Virginia Beach, VA 23452","2956 Ansol Lane, Virginia Beach, VA",23452,(757) 496-5700,https://gracebible.church,https://www.usachurches.org/church/gracebiblechurchlynnhaven.htm,510190883,RT 1 BOX 18,GLOUCESTER,VA,23061-0000
Vineyard church of Christ,Non-Denominational / Independent,Other Churches,"8102 Excelsior Dr, Madison, WI 53717","8102 Excelsior Dr, Madison, WI",53717,(608) 957-3794,,https://www.usachurches.org/church/vineyard-church-of-christ.htm,237088234,PO BOX 472,MANITOWOC,WI,54221-0472
"Grace Bible Church, Norfolk",Non-Denominational / Independent,Other Churches,"15 AM or 11:15 AM, in person or online. Grace Bible Church is committed to the 757. Rather than being known for what we oppose, we strive to be known for what we support� families, racial unity, recovery, and education. As a non-denominational Christian church, we proudly serve Norfolk, Virginia Beach, and Chesapeake. You're invited to our Sunday services at our Norfolk Campus, located at 6401 Tidewater Dr, Norfolk, VA 23509","15 AM or 11:15 AM, in person or online. Grace Bible Church is committed to the 757. Rather than being known for what we oppose, we strive to be known for what we support� families, racial unity, recovery, and education. As a non-denominational Christian church, we proudly serve Norfolk, Virginia Beach, and Chesapeake. You're invited to our Sunday services at our Norfolk Campus, located at 6401 Tidewater Dr, Norfolk, VA",23509,(757) 496-5700,https://gracebible.church,https://www.usachurches.org/church/gracebiblechurchnorfolk.htm,510190883,RT 1 BOX 18,GLOUCESTER,VA,23061-0000
Restore Community Church,Non-Denominational / Independent,Other Churches,"45980 Regal Plaza, Sterling, VA 20165","45980 Regal Plaza, Sterling, VA",20165,(703) 439-4858,,https://www.usachurches.org/church/restore-community-church.htm,010621320,112 JOHN PAUL JONES DR,RUTHER GLEN,VA,22546-5046
Liberty Christian Church,Non-Denominational / Independent,Other Churches,"2465 North Main Street #14, Sunset UT 84015. Our Mailing Address: P.O. Box 678 Clearfield, UT 84089","2465 North Main Street #14, Sunset UT 84015. Our Mailing Address: P.O. Box 678 Clearfield, UT",84089,(801) 773-5653,https://lccut.org,https://www.usachurches.org/church/liberty-christian-church.htm,870521907,5526 S 100 E,OGDEN,UT,84405-6804
Destiny-Driven Deliverance Church International,Non-Denominational / Independent,Other Churches,"3590 Riverside Dr, Macon, GA 31210","3590 Riverside Dr, Macon, GA",31210,(478) 345-5547,,https://www.usachurches.org/church/destiny-driven-deliverance-church-international.htm,300159893,403 LITTLE CARTER CV,LOGANVILLE,GA,30052-2136
Church Without Walls,Non-Denominational / Independent,Other Churches,"2117 Acton St, Berkeley, CA 94702). Our Mailing Address: 1700 Shattuck Ave., #199, Berkeley, CA 94709","2117 Acton St, Berkeley, CA 94702). Our Mailing Address: 1700 Shattuck Ave., #199, Berkeley, CA",94709,(510) 204-9504,https://churchwithoutwallsberkeley.org,https://www.usachurches.org/church/church-without-walls.htm,844613390,710 PALO ALTO AVE,BEAUMONT,CA,92223-2429
The Church at Sendera Ranch,Non-Denominational / Independent,Other Churches,"14081 Willow Springs Rd, Haslet, TX 76052","14081 Willow Springs Rd, Haslet, TX",76052,(682) 231-2463,https://changinglivesforgood.com,https://www.usachurches.org/church/the-church-at-sendera-ranch.htm,822454115,PO BOX 1730,PORTER,TX,77365-1730
New Day Church,Non-Denominational / Independent,Other Churches,"4402 Nassau Ave NE, Tacoma, WA 98422","4402 Nassau Ave NE, Tacoma, WA",98422,(253) 250-9934,https://newdaynw.com,https://www.usachurches.org/church/new-day-church.htm,451499821,9029 49TH AVE NE,SEATTLE,WA,98115-3901
Upper Room Full Gospel Church,Non-Denominational / Independent,Other Churches,"121 Centennial Ave, Piscataway, NJ 08854","121 Centennial Ave, Piscataway, NJ",08854,(908) 226-1633,https://upperroomchurch.com,https://www.usachurches.org/church/upper-room-full-gospel-church.htm,223246318,102 E NASSAU AVE,S PLAINFIELD,NJ,07080-5220
Greater Harvest Ministries,Non-Denominational / Independent,Other Churches,"35 Daniel Dr, Stockbridge, GA 30281","35 Daniel Dr, Stockbridge, GA",30281,(678) 763-1499,,https://www.usachurches.org/church/greater-harvest-ministries.htm,582411524,PO BOX 1904,DOUGLASVILLE,GA,30133-1904
New Life in Christ Church,Non-Denominational / Independent,Other Churches,"1333 Greenwood Rd, Glenview, IL 60026","1333 Greenwood Rd, Glenview, IL",60026,(847) 724-5433,,https://www.usachurches.org/church/new-life-in-christ-church.htm,342045251,1443 W 63RD ST,CHICAGO,IL,60636-2353
Grace Faith Assembly,Non-Denominational / Independent,Other Churches,"84 (80 Newtown Rd., Exit 8 off Interstate 84, Danbury, CT 06810","84 (80 Newtown Rd., Exit 8 off Interstate 84, Danbury, CT",06810,(860) 519-4343,,https://www.usachurches.org/church/grace-faith-assembly.htm,060913795,846 PROSPECT AVE,HARTFORD,CT,06105-4232
The Master's House,Non-Denominational / Independent,Other Churches,"2500 E. Washington St., Suffolk, VA 23434","2500 E. Washington St., Suffolk, VA",23434,(757) 394-3377,,https://www.usachurches.org/church/the-masters-house.htm,841629070,PO BOX 1568,MECHANICSVLLE,VA,23116-0001
The Journey Church Community,Non-Denominational / Independent,Other Churches,"6315 Sykesville Rd (Rt. 32), Sykesville, MD 21784","6315 Sykesville Rd (Rt. 32), Sykesville, MD",21784,(410) 552-5520,,https://www.usachurches.org/church/the-journey-church-community.htm,203423548,PO BOX 1519,ELDERSBURG,MD,21784-1519
Remnant Outreach Ministries,Non-Denominational / Independent,Other Churches,"1410 S Country Club Dr, Mesa, AZ  85210","1410 S Country Club Dr, Mesa, AZ",85210,(888) 411-2490,https://romtng.com,https://www.usachurches.org/church/remnant-outreach-ministries.htm,273529801,1909 E RAY RD STE 9-135,CHANDLER,AZ,85225-8733
Destiny Ministries,Non-Denominational / Independent,Other Churches,"150 Hereford Dr, Pickerington, OH 43147","150 Hereford Dr, Pickerington, OH",43147,(614) 833-4637,https://runtodmc.com,https://www.usachurches.org/church/destiny-ministries.htm,922856552,7642 RIPPINGALE ST,BLACKLICK,OH,43004-9767
Spirit of Life Community Church,Non-Denominational / Independent,Other Churches,"800 Brooks Street, Sugar Land, TX 77478","800 Brooks Street, Sugar Land, TX",77478,(281) 238-5531,https://spiritoflife.com,https://www.usachurches.org/church/spirit-of-life-community-church.htm,203783353,PO BOX 181630,ARLINGTON,TX,76096-1630
Christ Restoration Ministries,Non-Denominational / Independent,Other Churches,"900 East Dublin Granville Road, Columbus, OH 43229","900 East Dublin Granville Road, Columbus, OH",43229,(614) 307-3297,https://christrestoration.net,https://www.usachurches.org/church/christ-restoration-ministries.htm,203372986,2938 TRACER RD,COLUMBUS,OH,43232-5672
Full Life Church,Non-Denominational / Independent,Other Churches,"1300 Fillmore Rd, Ft. Washington, MD 20744","1300 Fillmore Rd, Ft. Washington, MD",20744,(301) 535-0659,,https://www.usachurches.org/church/full-life-church.htm,263561213,811 LIRA DR,FT WASHINGTON,MD,20744-5316
New Beginnings Christian Church,Non-Denominational / Independent,Other Churches,"7411 Hoadly Rd, Manassas, VA 20112","7411 Hoadly Rd, Manassas, VA",20112,(703) 730-3931,https://newbcc.net,https://www.usachurches.org/church/new-beginnings-christian-church-manassas.htm,823053806,PO BOX 41,FAIRFIELD,VA,24435-0041
Columbia River Bible Fellowship,Non-Denominational / Independent,Other Churches,"11613 SE 7th St, Vancouver, WA 98683","11613 SE 7th St, Vancouver, WA",98683,(360) 566-7164,https://crbible.org,https://www.usachurches.org/church/columbia-river-bible-fellowship.htm,910904908,1086 HIGHWAY 395 N,KETTLE FALLS,WA,99141-5105
Grace Community Church,Non-Denominational / Independent,Other Churches,"11111 S 84th St, Papillion, NE 68046","11111 S 84th St, Papillion, NE",68046,(402) 850-1788,,https://www.usachurches.org/church/grace-community-church-papillion.htm,203801231,PO BOX 30309,LINCOLN,NE,68503-0309
River's Edge Church,Non-Denominational / Independent,Other Churches,"403 S Lee St, Batesburg-Leesville, SC 29070","403 S Lee St, Batesburg-Leesville, SC",29070,(803) 315-5945,,https://www.usachurches.org/church/rivers-edge-church-batesburg-leesville.htm,871048282,2801 RED BLUFF RD,LORIS,SC,29569-6224
Orlando Healing Center,Non-Denominational / Independent,Other Churches,"12601 Balcombe Rd, Orlando, FL 32837","12601 Balcombe Rd, Orlando, FL",32837,(407) 288-5791,,https://www.usachurches.org/church/orlando-healing-center.htm,592886690,326 FEATHER PL,LONGWOOD,FL,32779-4843
Crossover Christian Church,Non-Denominational / Independent,Other Churches,"633 Mount Sinai Coram Rd, Mount Sinai, NY 11766","633 Mount Sinai Coram Rd, Mount Sinai, NY",11766,(631) 734-0204,,https://www.usachurches.org/church/crossover-christian-church.htm,800617720,4605 WICKHAM AVE,MATTITUCK,NY,11952-2355
Naples Bible Fellowship,Non-Denominational / Independent,Other Churches,"5050 Davis Blvd, Naples, FL 34104","5050 Davis Blvd, Naples, FL",34104,(239) 775-7180,https://rickcampanaministries.org,https://www.usachurches.org/church/naples-bible-fellowship.htm,465368895,4670 E BAY DR,CLEARWATER,FL,33764-5715
Russellville Community Church,Non-Denominational / Independent,Other Churches,"10401 NE Glisan Street, Portland, OR 97220","10401 NE Glisan Street, Portland, OR",97220,(503) 771-4353,https://russellvillecommunitychurch.org,https://www.usachurches.org/church/russellville-community-church.htm,043652641,PO BOX 1710,SILVERTON,OR,97381-0365
Life Church,Non-Denominational / Independent,Other Churches,"1245 Plum Point Road, Huntingtown, MD 20639","1245 Plum Point Road, Huntingtown, MD",20639,(443) 295-3430,https://lifechurchcalvert.com,https://www.usachurches.org/church/life-church-huntingtown.htm,260485362,PO BOX 1156,COCKEYSVILLE,MD,21030-6156
Alabaster Box Worship and Arts Center,Non-Denominational / Independent,Other Churches,"5205 Milford Rd, East Stroudsburg, PA 18302","5205 Milford Rd, East Stroudsburg, PA",18302,(570) 688-7461,,https://www.usachurches.org/church/alabaster-box-worship-and-arts-center.htm,010921956,223 FRUTCHEY DR,E STROUDSBURG,PA,18302-6917
Immanuel Fellowship,Non-Denominational / Independent,Other Churches,"0151 Peak One Blvd., CR 1004, Frisco, CO 80443","0151 Peak One Blvd., CR 1004, Frisco, CO",80443,(970) 668-6060,https://if-frisco.com,https://www.usachurches.org/church/immanuel-fellowship.htm,043798457,1640 E 4TH ST,PUEBLO,CO,81001-4108
The Edge Community Church,Non-Denominational / Independent,Other Churches,"611 Village Dr, Suisun, CA 94585","611 Village Dr, Suisun, CA",94585,(707) 646-9706,https://edgecommunitychurch.org,https://www.usachurches.org/church/the-edge-community-church.htm,202018776,950 BEACON ST,BREA,CA,92821-2907
Family Christian Center,Non-Denominational / Independent,Other Churches,"8 Theaters located at 770 Riverside Dr, Coral Springs, FL 33071","8 Theaters located at 770 Riverside Dr, Coral Springs, FL",33071,(954) 975-3145,,https://www.usachurches.org/church/family-christian-center-coral-springs.htm,753199997,1722 ELSIE PARK CT,KISSIMMEE,FL,34744-3997
Heart of God Ministries,Non-Denominational / Independent,Other Churches,"3777 Samples Rd, Cumming, GA 30041","3777 Samples Rd, Cumming, GA",30041,(770) 329-1278,,https://www.usachurches.org/church/heart-of-god-ministries.htm,854369746,PO BOX 12252,AUGUSTA,GA,30914-2252
Trinity Christian Fellowship International,Non-Denominational / Independent,Other Churches,"911 E Oglethorpe Blvd, Albany, GA 31705","911 E Oglethorpe Blvd, Albany, GA",31705,(229) 291-4015,,https://www.usachurches.org/church/trinity-christian-fellowship-international.htm,020673191,PO BOX 1082,STONE MTN,GA,30086-1082
